Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2022-12-29,369.6767272949219,370.5540670964372,365.4732107416271,366.00348658061273,66970900
2022-12-30,368.7029724121094,368.847582397039,364.84654922905963,366.9772442216599,84022200
2023-01-03,367.1507873535156,372.5594069093529,364.2680909295635,370.573351263542,74850700
2023-01-04,369.98529052734375,372.0291903329233,366.36024291915226,369.4260926275216,85934100
2023-01-05,365.7624816894531,368.134173839708,365.1647407706404,368.0184858453798,76970500
2023-01-06,374.1501770019531,375.27819376712574,365.79139594475265,368.8765169428409,104189600
2023-01-09,373.9380798339844,379.5684838740749,373.7549267913876,376.3579949259514,73978100
2023-01-10,376.5604248046875,376.6279192710031,372.4051312224063,373.3499654843039,65358100
2023-01-11,381.32305908203125,381.4002040110503,377.3316769593042,378.1511726526553,68881100
2023-01-12,382.71142578125,384.1865064616025,378.334406682949,382.4318562863919,90157700
2023-01-13,384.1961364746094,384.77460580166553,379.2213473374017,379.4912957670716,63903900
2023-01-17,383.4923400878906,385.864061457069,382.8078332319927,384.1768763659617,62677300
2023-01-18,377.43768310546875,385.7579189465118,377.2352291724086,384.68777587816936,99632300
2023-01-19,374.6900634765625,377.0424543796125,373.35959286713046,375.38419135399994,86958900
2023-01-20,381.6701965332031,381.82445698690145,374.43940326581804,376.09766636535863,91806400
2023-01-23,386.2497253417969,388.1972085363031,381.51596216179814,382.48006799669383,84178800
2023-01-24,385.83514404296875,386.7510268785712,383.36703560558396,384.56251735495596,59524900
2023-01-25,385.9797668457031,386.31720976357485,379.43348015881935,381.73770716693184,84800300
2023-01-26,390.2218322753906,390.38574321123235,385.6712516090908,388.659985548013,72287400
2023-01-27,391.118408203125,393.5094010221229,388.9588207680121,389.17092520697304,68346200
2023-01-30,386.2111511230469,390.5881998318813,385.91228066935525,388.34181677031853,74202000
2023-01-31,391.8897399902344,391.9379335118338,386.3846746346884,386.73176802559715,86811800
2023-02-01,396.05462646484375,398.8216346549571,387.90795061017513,390.66527890561525,101459200
2023-02-02,401.8200378417969,403.2951186258931,398.0600308845101,399.9689416508841,101654500
2023-02-03,397.5490417480469,402.003205939953,396.3342589967362,396.8163119079325,94736800
2023-02-06,395.1195068359375,396.5271226295755,393.45162246426094,395.0809637840236,60295300
2023-02-07,400.287109375,401.5404352084988,392.94062752096966,394.1939533544685,90990700
2023-02-08,395.90997314453125,399.6507077160315,395.21581591041604,398.30096571141,76227500
2023-02-09,392.47784423828125,399.6893665385149,391.24378993568155,399.535106072918,78694900
2023-02-10,393.39373779296875,393.77937422747794,390.472498403855,391.2919647938718,70769700
