Date,Cash,PositionsValue,TotalValue,UnrealizedPnL
2014-06-12,308706.8530343,86872.5,395579.3530343,10132.155000000004
2014-06-13,308706.8530343,87108.75,395815.6030343,10368.405000000004
2014-06-16,308706.8530343,87142.5,395849.3530343,10402.155000000004
2014-06-17,308706.8530343,87367.5,396074.3530343,10627.155000000004
2014-06-18,308706.8530343,88065.0,396771.8530343,11324.655000000004
2014-06-19,308706.8530343,88132.5,396839.3530343,11392.155000000004
2014-06-20,308706.8530343,88560.0,397266.8530343,11819.655000000004
2014-06-23,308706.8530343,87885.0,396591.8530343,11144.655000000004
2014-06-24,308706.8530343,87446.25,396153.1030343,10705.905000000004
2014-06-25,308706.8530343,87727.5,396434.3530343,10987.155000000004
2014-06-26,308706.8530343,87693.75,396400.6030343,10953.405000000004
2014-06-27,308706.8530343,87840.0,396546.8530343,11099.655000000004
2014-06-30,308706.8530343,87862.5,396569.3530343,11122.155000000004
2014-07-01,308706.8530343,88458.75,397165.6030343,11718.405000000004
2014-07-02,308706.8530343,88548.75,397255.6030343,11808.405000000004
2014-07-03,308706.8530343,88987.5,397694.3530343,12247.155000000004
2014-07-07,308706.8530343,88695.0,397401.8530343,11954.655000000004
2014-07-08,308706.8530343,88222.5,396929.3530343,11482.155000000004
2014-07-09,308706.8530343,88526.25,397233.1030343,11785.905000000004
2014-07-10,308706.8530343,88098.75,396805.6030343,11358.405000000004
2014-07-11,308706.8530343,88312.5,397019.3530343,11572.155000000004
2014-07-14,308706.8530343,88695.0,397401.8530343,11954.655000000004
2014-07-15,308706.8530343,88560.0,397266.8530343,11819.655000000004
2014-07-16,308706.8530343,88863.75,397570.6030343,12123.405000000004
2014-07-17,308706.8530343,87907.5,396614.3530343,11167.155000000004
2014-07-18,308706.8530343,88717.5,397424.3530343,11977.155000000004
2014-07-21,308706.8530343,88481.25,397188.1030343,11740.905000000004
2014-07-22,308706.8530343,88875.0,397581.8530343,12134.655000000004
2014-07-23,308706.8530343,89133.75,397840.6030343,12393.405000000004
2014-07-24,308706.8530343,89133.75,397840.6030343,12393.405000000004
2014-07-25,308706.8530343,88717.5,397424.3530343,11977.155000000004
2014-07-28,308706.8530343,88785.0,397491.8530343,12044.655000000004
2014-07-29,308706.8530343,88335.0,397041.8530343,11594.655000000004
2014-07-30,308706.8530343,88425.0,397131.8530343,11684.655000000004
2014-07-31,308706.8530343,86613.75,395320.6030343,9873.405000000004
