Date,Strategy
2005-01-08,0.0068486269256530456
2005-01-09,-0.0022180846757872577
2005-01-11,-0.003077930582842159
2005-01-12,0.010292650482208199
2005-02-02,-0.01130702933502017
2005-02-03,0.002832718739523932
2005-02-05,-0.00791670109908269
2005-02-06,0.007244880399242782
2005-02-08,0.006609648758614962
2005-02-09,-0.004195804195804187
2005-02-11,-0.0005254515599343312
2005-02-12,0.008281198551201819
2005-03-01,-0.009959686981266303
2005-03-02,-0.0020297812162049403
2005-03-03,0.003462475838305723
2005-03-05,-0.008145394465097057
2005-03-06,0.00599379951774024
2005-03-08,0.008193979933110374
2005-03-10,-0.0029397590361445627
2005-03-11,-0.0011086655253933265
2005-04-01,-0.005229936880072162
2005-04-02,0.0025252525252525086
2005-04-03,0.003175394846217783
